Node Type,Node,Node Interface,Peer Type,Peer Node,Peer Interface,Node Interface Enabled
p,atl-trx1-dc1-p2,Ethernet15/3,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet15/4,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet16/1,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet16/2,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet16/3,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet16/4,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet17/1,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet17/2,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet17/3,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet17/4,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet18/1,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet18/2,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet18/3,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet18/4,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet19/1,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet19/2,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet19/3,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet19/4,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet20/1,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet20/2,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet20/3,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet20/4,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet21/1,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet21/2,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet21/3,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet21/4,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet22/1,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet22/2,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet22/3,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet22/4,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet23/1,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet23/2,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet23/3,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet23/4,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet24/1,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet24/2,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet24/3,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet24/4,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet25/2,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet25/3,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet25/4,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet26/2,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet26/3,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet26/4,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet27/1,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet27/2,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet27/3,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet27/4,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet28/1,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet28/2,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet28/3,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet28/4,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet29/1,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet29/2,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet29/3,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet29/4,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet30/1,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet30/2,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet30/3,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet31/2,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet31/3,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet31/4,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet33/1,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet33/2,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet33/3,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet33/4,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet33/5,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet33/6,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet33/7,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet33/8,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet34/1,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet34/2,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet34/3,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet34/4,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet34/5,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet34/6,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet34/7,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet34/8,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet35/1,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet35/2,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet35/3,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet35/4,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet35/5,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet35/6,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet35/7,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet35/8,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet36/1,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet36/2,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet36/3,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet36/4,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet36/5,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet36/6,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet36/7,network_port,,,True
p,atl-trx1-dc1-p2,Ethernet36/8,network_port,,,True
